Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,histoire,history
2,2,3,police,police
3,3,4,pensais,thought
4,4,6,demande,request
5,5,7,genre,kind
6,6,8,mois,month
7,8,10,car,because
8,9,11,mettre,to put
9,10,12,aucun,no
10,11,13,eux,them
11,12,14,ville,city
12,13,15,parlé,speak
13,14,16,arrivé,come
14,15,17,devrait,should
15,17,19,longtemps,long time
16,19,21,vont,will
17,20,22,pendant,while
18,21,23,revoir,meet again
19,22,24,aucune,any
20,23,25,place,square
21,24,26,parle,speak
22,25,27,compris,understood
23,26,28,savais,knew
24,27,29,attention,Warning
25,28,30,voici,here is
26,29,31,affaire,case
28,31,33,type,type
29,32,34,donné,given
30,33,35,train,train
31,34,36,yeux,eyes
32,35,37,façon,way
33,36,39,trouve,find
34,37,40,premier,first
35,38,41,perdu,lost
36,39,42,main,hand
37,40,43,première,first
38,41,44,côté,side
39,42,45,tiens,here
40,43,46,matin,morning
41,44,48,enfant,child
42,45,50,venu,came
43,47,52,pardon,sorry
44,48,54,devant,in front of
45,49,55,vers,towards
46,50,56,minutes,minutes
47,51,57,demandé,request
48,52,58,chambre,bedroom
49,53,60,belle,beautiful
50,54,61,aimerais,would like to
51,55,62,aujourd'hui,today
52,56,63,mari,husband
53,57,64,cause,cause
54,58,65,enfin,finally
55,59,66,espère,hope
56,60,67,eau,water
58,62,70,boulot,job
60,64,75,loin,far
61,65,76,fin,end
62,66,77,croire,believe
63,67,78,chérie,sweetheart
64,68,79,gros,large
65,69,80,plutôt,rather
66,71,82,filles,girls
67,72,83,jouer,to play
68,73,84,bureau,office
